attendance_id,employee_id,employee_name,gender,department,designation,employment_type,office_location,date_of_joining,attendance_date,shift_type,attendance_status,work_mode,login_timestamp,logout_timestamp,total_hours_worked,break_duration_mins,net_productive_hours,late_arrival_mins,early_exit_mins,overtime_hours,leave_type,login_date,login_time,logout_date,logout_time,recalculated_gross_hours,recalculated_net_productive_hours
9600,1942,Chirag Joseph,Male,Finance,Financial Analyst,Full-Time,Electronic City Campus,2022-03-01,2026-01-16,Early (08:00-17:00),Present,Work From Home,2026-01-16 07:05:05,2026-01-16 16:28:28,9.39,55,8.47,0,32,0.0,Not Applicable,2026-01-16,07:05:05,2026-01-16,16:28:28,9.389722222222222,8.473055555555556
9601,1943,Vinay Mehta,Female,Operations,Operations Analyst,Full-Time,Indiranagar Annexe,2024-07-16,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:37:15,2026-01-16 18:05:39,8.47,94,6.9,7,25,0.0,Not Applicable,2026-01-16,09:37:15,2026-01-16,18:05:39,8.473333333333333,6.906666666666666
9602,1944,Radhika Rathore,Female,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2022-08-17,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:21:32,2026-01-16 18:16:05,8.91,61,7.89,0,14,0.0,Not Applicable,2026-01-16,09:21:32,2026-01-16,18:16:05,8.909166666666666,7.892499999999999
9603,1945,Tanmay Chatterjee,Female,Data Science,Senior Data Scientist,Full-Time,Indiranagar Annexe,2022-01-29,2026-01-16,General (09:30-18:30),Present,Work From Home,2026-01-16 09:46:02,2026-01-16 17:31:28,7.76,32,7.23,15,59,0.0,Not Applicable,2026-01-16,09:46:02,2026-01-16,17:31:28,7.7572222222222225,7.223888888888889
9604,1946,Sujith Mishra,Male,Operations,Operations Analyst,Full-Time,Koramangala Hq,2022-01-01,2026-01-16,Mid (11:00-20:00),Present,Work From Office,2026-01-16 10:48:06,2026-01-16 19:20:31,8.54,50,7.71,0,40,0.0,Not Applicable,2026-01-16,10:48:06,2026-01-16,19:20:31,8.540277777777778,7.706944444444445
9605,1947,Shilpa Tiwari,Female,Finance,Financial Analyst,Full-Time,Hsr Layout Hub,2021-02-24,2026-01-16,Early (08:00-17:00),Present,Work From Office,2026-01-16 07:26:54,2026-01-16 16:02:33,8.59,70,7.42,0,58,0.0,Not Applicable,2026-01-16,07:26:54,2026-01-16,16:02:33,8.594166666666666,7.427499999999999
9606,1948,Imran Dsouza,Male,Customer Success,Customer Success Executive,Full-Time,Whitefield Tech Park,2024-10-21,2026-01-16,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-16 14:03:14,2026-01-16 23:08:57,9.1,62,8.07,2,0,0.0,Not Applicable,2026-01-16,14:03:14,2026-01-16,23:08:57,9.095277777777778,8.061944444444444
9607,1949,Kiran Varghese,Male,Marketing,Head Of Marketing,Full-Time,Koramangala Hq,2020-09-30,2026-01-16,Mid (11:00-20:00),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Earned Leave,,,,,0.0,0.0
9608,1950,Harini Trivedi,Female,Design,Ui/Ux Designer,Full-Time,Koramangala Hq,2022-03-13,2026-01-16,Mid (11:00-20:00),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Casual Leave,,,,,0.0,0.0
9609,1951,Vishnu Sinha,Male,Engineering,Software Engineer,Full-Time,Electronic City Campus,2021-02-03,2026-01-16,Flexible (10:30-19:30),Present,Work From Home,2026-01-16 10:21:24,2026-01-16 20:15:27,9.9,46,9.13,0,0,0.13,Not Applicable,2026-01-16,10:21:24,2026-01-16,20:15:27,9.900833333333333,9.134166666666665
9610,1952,Venkatesh Das,Male,Marketing,Performance Marketing Manager,Full-Time,Hsr Layout Hub,2023-07-16,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 10:26:18,2026-01-16 20:02:24,9.6,67,8.48,0,0,0.0,Not Applicable,2026-01-16,10:26:18,2026-01-16,20:02:24,9.601666666666667,8.485
9611,1953,Farida Behera,Male,Operations,Head Of Operations,Full-Time,Indiranagar Annexe,2021-06-25,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:29:33,2026-01-16 19:24:44,9.92,69,8.77,0,0,0.0,Not Applicable,2026-01-16,09:29:33,2026-01-16,19:24:44,9.919722222222223,8.769722222222223
9612,1954,Apoorva Bhat,Female,Engineering,Software Engineer,Full-Time,Koramangala Hq,2023-04-08,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 10:28:54,2026-01-16 19:44:42,9.26,68,8.13,0,0,0.0,Not Applicable,2026-01-16,10:28:54,2026-01-16,19:44:42,9.263333333333334,8.13
9613,1955,Venkatesh Kumar,Male,Customer Success,Support Associate,Full-Time,Indiranagar Annexe,2022-07-21,2026-01-16,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-16 14:16:07,2026-01-17 00:43:23,10.45,91,8.93,16,0,0.0,Not Applicable,2026-01-16,14:16:07,2026-01-17,00:43:23,10.454444444444444,8.937777777777779
9614,1956,Rakesh Thomas,Male,Data Science,Data Analyst,Full-Time,Hsr Layout Hub,2023-12-15,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:44:51,2026-01-16 17:42:50,7.97,57,7.02,14,47,0.0,Not Applicable,2026-01-16,09:44:51,2026-01-16,17:42:50,7.966388888888889,7.016388888888889
9615,1957,Chirag Mishra,Male,Customer Success,Customer Success Manager,Full-Time,Koramangala Hq,2025-02-03,2026-01-16,Early (08:00-17:00),Present,Work From Office,2026-01-16 07:55:21,2026-01-16 17:03:12,9.13,70,7.96,0,0,0.0,Not Applicable,2026-01-16,07:55:21,2026-01-16,17:03:12,9.130833333333333,7.964166666666666
9616,1958,Akash Dsouza,Male,Data Science,Senior Data Scientist,Full-Time,Indiranagar Annexe,2024-02-15,2026-01-16,General (09:30-18:30),Present,Work From Home,2026-01-16 08:55:55,2026-01-16 18:26:53,9.52,61,8.5,0,3,0.0,Not Applicable,2026-01-16,08:55:55,2026-01-16,18:26:53,9.516111111111112,8.499444444444446
9617,1959,Meera Yadav,Female,Operations,Operations Executive,Full-Time,Koramangala Hq,2023-08-12,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 10:07:10,2026-01-16 19:14:40,9.13,86,7.7,37,0,0.0,Not Applicable,2026-01-16,10:07:10,2026-01-16,19:14:40,9.125,7.691666666666666
9618,1960,Sahana Pai,Male,Design,Ui/Ux Designer,Full-Time,Whitefield Tech Park,2024-07-27,2026-01-16,Flexible (10:30-19:30),Present,Work From Home,2026-01-16 10:37:17,2026-01-16 20:05:47,9.47,74,8.24,7,0,0.0,Not Applicable,2026-01-16,10:37:17,2026-01-16,20:05:47,9.475,8.241666666666667
9619,1961,Mohit Anand,Male,Engineering,Staff Engineer,Full-Time,Koramangala Hq,2023-11-26,2026-01-16,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-16 13:52:44,2026-01-16 22:32:22,8.66,87,7.21,0,29,0.0,Not Applicable,2026-01-16,13:52:44,2026-01-16,22:32:22,8.660555555555556,7.210555555555556
9620,1962,Parth Chauhan,Male,Finance,Finance Controller,Full-Time,Whitefield Tech Park,2021-06-18,2026-01-16,General (09:30-18:30),Present,Work From Home,2026-01-16 09:27:05,2026-01-16 17:17:21,7.84,58,6.87,0,73,0.0,Not Applicable,2026-01-16,09:27:05,2026-01-16,17:17:21,7.837777777777778,6.871111111111111
9621,1963,Prateek Ghosh,Female,Customer Success,Customer Success Manager,Full-Time,Koramangala Hq,2022-09-24,2026-01-16,Early (08:00-17:00),Present,Work From Office,2026-01-16 08:00:34,2026-01-16 16:44:26,8.73,84,7.33,0,16,0.0,Not Applicable,2026-01-16,08:00:34,2026-01-16,16:44:26,8.731111111111112,7.331111111111111
9622,1964,Aarav Roy,Female,Sales,Sales Development Representative,Full-Time,Hsr Layout Hub,2022-06-29,2026-01-16,Late/Us Overlap (14:00-23:00),Present,Work From Home,2026-01-16 15:41:02,2026-01-17 01:28:46,9.8,61,8.78,101,0,0.0,Not Applicable,2026-01-16,15:41:02,2026-01-17,01:28:46,9.795555555555556,8.77888888888889
9623,1965,Sumanth Pandey,Female,Product Management,Product Manager,Full-Time,Indiranagar Annexe,2024-08-26,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:44:53,2026-01-16 19:05:10,9.34,76,8.07,15,0,0.0,Not Applicable,2026-01-16,09:44:53,2026-01-16,19:05:10,9.338055555555556,8.07138888888889
9624,1966,Farhan Hegde,Female,Data Science,Data Analyst,Full-Time,Whitefield Tech Park,2025-05-18,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 10:52:30,2026-01-16 18:36:27,7.73,67,6.61,22,54,0.0,Not Applicable,2026-01-16,10:52:30,2026-01-16,18:36:27,7.7325,6.615833333333333
9625,1967,Tejas Kadam,Male,Sales,Regional Sales Manager,Full-Time,Whitefield Tech Park,2021-06-24,2026-01-16,Late/Us Overlap (14:00-23:00),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Loss Of Pay,,,,,0.0,0.0
9626,1968,Naveen Kulkarni,Male,Data Science,Senior Data Scientist,Contract,Indiranagar Annexe,2024-08-23,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:56:37,2026-01-16 20:04:36,10.13,52,9.26,26,0,0.26,Not Applicable,2026-01-16,09:56:37,2026-01-16,20:04:36,10.133055555555556,9.266388888888889
9627,1969,Ankit Prasad,Female,Marketing,Head Of Marketing,Full-Time,Koramangala Hq,2021-09-12,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 10:34:38,2026-01-16 19:21:05,8.77,19,8.45,4,10,0.0,Not Applicable,2026-01-16,10:34:38,2026-01-16,19:21:05,8.774166666666666,8.4575
9628,1970,Sanjay Fernandes,Male,Product Management,Product Manager,Full-Time,Electronic City Campus,2025-04-12,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 10:54:49,2026-01-16 20:25:59,9.52,93,7.97,24,0,0.0,Not Applicable,2026-01-16,10:54:49,2026-01-16,20:25:59,9.519444444444444,7.969444444444444
9629,1971,Rashmi Shetty,Male,Sales,Sales Development Representative,Full-Time,Indiranagar Annexe,2022-12-11,2026-01-16,Early (08:00-17:00),Present,Work From Office,2026-01-16 07:57:52,2026-01-16 16:55:58,8.97,98,7.34,0,4,0.0,Not Applicable,2026-01-16,07:57:52,2026-01-16,16:55:58,8.968333333333334,7.335000000000001
9630,1972,Jayanth Hegde,Female,Engineering,Software Engineer Intern,Intern,Whitefield Tech Park,2025-11-23,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:53:32,2026-01-16 19:19:19,9.43,64,8.36,23,0,0.0,Not Applicable,2026-01-16,09:53:32,2026-01-16,19:19:19,9.429722222222223,8.363055555555556
9631,1973,Harini Khan,Male,Engineering,Software Engineer,Full-Time,Indiranagar Annexe,2021-12-08,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 10:22:33,2026-01-16 19:32:14,9.16,61,8.14,0,0,0.0,Not Applicable,2026-01-16,10:22:33,2026-01-16,19:32:14,9.161388888888888,8.14472222222222
9632,1974,Chirag Balasubramanian,Male,Sales,Account Executive,Full-Time,Koramangala Hq,2020-10-11,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:56:23,2026-01-16 19:19:47,9.39,69,8.24,26,0,0.0,Not Applicable,2026-01-16,09:56:23,2026-01-16,19:19:47,9.39,8.24
9633,1975,Ankit Bhardwaj,Female,Product Management,Associate Product Manager,Full-Time,Koramangala Hq,2024-03-17,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:06:06,2026-01-16 19:24:31,10.31,57,9.36,0,0,0.36,Not Applicable,2026-01-16,09:06:06,2026-01-16,19:24:31,10.306944444444444,9.356944444444444
9634,1976,Sunita Kulkarni,Male,Engineering,Director Of Engineering,Contract,Indiranagar Annexe,2025-11-05,2026-01-16,Flexible (10:30-19:30),Present,Work From Office,2026-01-16 11:01:34,2026-01-16 20:26:07,9.41,54,8.51,31,0,0.0,Not Applicable,2026-01-16,11:01:34,2026-01-16,20:26:07,9.409166666666666,8.509166666666665
9635,1977,Rahul Kadam,Male,Marketing,Head Of Marketing,Full-Time,Koramangala Hq,2021-03-13,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:50:05,2026-01-16 19:12:00,9.37,70,8.2,20,0,0.0,Not Applicable,2026-01-16,09:50:05,2026-01-16,19:12:00,9.365277777777777,8.198611111111111
9636,1978,Naveen Menon,Male,Human Resources,Hr Executive,Full-Time,Indiranagar Annexe,2024-12-28,2026-01-16,General (09:30-18:30),Present,Work From Office,2026-01-16 09:35:00,2026-01-16 18:17:25,8.71,67,7.59,4,13,0.0,Not Applicable,2026-01-16,09:35:00,2026-01-16,18:17:25,8.706944444444444,7.590277777777777
9637,1979,Yogesh Panda,Female,Sales,Regional Sales Manager,Full-Time,Whitefield Tech Park,2023-05-18,2026-01-16,Late/Us Overlap (14:00-23:00),Present,Work From Home,2026-01-16 13:47:21,2026-01-16 23:08:54,9.36,91,7.84,0,0,0.0,Not Applicable,2026-01-16,13:47:21,2026-01-16,23:08:54,9.359166666666667,7.8425
9638,1000,Arjun Verma,Male,Engineering,Software Engineer Intern,Intern,Koramangala Hq,2025-06-26,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:31:46,2026-01-19 18:17:38,8.76,64,7.69,1,13,0.0,Not Applicable,2026-01-19,09:31:46,2026-01-19,18:17:38,8.764444444444445,7.6977777777777785
9639,1001,Rekha Chatterjee,Female,Operations,Operations Manager,Full-Time,Koramangala Hq,2024-02-16,2026-01-19,General (09:30-18:30),Present,Work From Home,2026-01-19 09:08:38,2026-01-19 17:07:42,7.98,70,6.81,0,83,0.0,Not Applicable,2026-01-19,09:08:38,2026-01-19,17:07:42,7.984444444444445,6.817777777777778
9640,1002,Tanmay Bhardwaj,Male,Operations,Operations Analyst,Full-Time,Whitefield Tech Park,2020-10-13,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 10:03:58,2026-01-19 18:21:33,8.29,38,7.66,34,9,0.0,Not Applicable,2026-01-19,10:03:58,2026-01-19,18:21:33,8.293055555555556,7.659722222222223
9641,1003,Aditya Bose,Female,Customer Success,Customer Success Executive,Full-Time,Koramangala Hq,2022-01-10,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 14:04:43,2026-01-20 00:03:30,9.98,35,9.4,4,0,0.4,Not Applicable,2026-01-19,14:04:43,2026-01-20,00:03:30,9.979722222222222,9.396388888888888
9642,1004,Uday Acharya,Male,Human Resources,Talent Acquisition Partner,Full-Time,Electronic City Campus,2024-09-09,2026-01-19,Flexible (10:30-19:30),Present,Work From Office,2026-01-19 10:59:16,2026-01-19 20:59:29,10.0,91,8.48,29,0,0.0,Not Applicable,2026-01-19,10:59:16,2026-01-19,20:59:29,10.00361111111111,8.486944444444443
9643,1005,Ankit Kamath,Male,Marketing,Content Strategist,Full-Time,Koramangala Hq,2024-12-15,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:22:56,2026-01-19 17:17:48,7.91,57,6.96,0,73,0.0,Not Applicable,2026-01-19,09:22:56,2026-01-19,17:17:48,7.914444444444444,6.964444444444444
9644,1006,Saurabh Pillai,Female,Engineering,Software Engineer,Full-Time,Koramangala Hq,2023-12-18,2026-01-19,Flexible (10:30-19:30),Present,Work From Office,2026-01-19 10:44:58,2026-01-19 17:54:25,7.16,45,6.41,15,96,0.0,Not Applicable,2026-01-19,10:44:58,2026-01-19,17:54:25,7.1575,6.4075
9645,1007,Deepika Subramanian,Female,Customer Success,Support Associate,Full-Time,Indiranagar Annexe,2022-08-24,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 14:08:08,2026-01-20 00:09:28,10.02,47,9.24,8,0,0.24,Not Applicable,2026-01-19,14:08:08,2026-01-20,00:09:28,10.022222222222222,9.238888888888889
9646,1008,Vijay Nair,Female,Finance,Finance Controller,Full-Time,Electronic City Campus,2023-04-02,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:50:11,2026-01-19 18:35:13,8.75,97,7.13,20,0,0.0,Not Applicable,2026-01-19,09:50:11,2026-01-19,18:35:13,8.750555555555556,7.1338888888888885
9647,1009,Tejas Krishnan,Male,Customer Success,Support Associate,Full-Time,Whitefield Tech Park,2023-03-12,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 14:12:32,2026-01-19 23:12:56,9.01,73,7.79,12,0,0.0,Not Applicable,2026-01-19,14:12:32,2026-01-19,23:12:56,9.006666666666666,7.789999999999999
9648,1010,Aditya Mathew,Male,Engineering,Staff Engineer,Full-Time,Hsr Layout Hub,2023-10-21,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:31:42,2026-01-19 18:46:25,9.25,74,8.02,2,0,0.0,Not Applicable,2026-01-19,09:31:42,2026-01-19,18:46:25,9.245277777777778,8.011944444444445
9649,1011,Sagar Joseph,Male,Operations,Operations Manager,Full-Time,Indiranagar Annexe,2023-07-17,2026-01-19,Early (08:00-17:00),Present,Work From Office,2026-01-19 08:22:33,2026-01-19 17:43:52,9.36,84,7.96,22,0,0.0,Not Applicable,2026-01-19,08:22:33,2026-01-19,17:43:52,9.355277777777777,7.955277777777777
9650,1012,Pallavi Kulkarni,Female,Finance,Finance Executive,Full-Time,Whitefield Tech Park,2025-08-20,2026-01-19,General (09:30-18:30),Present,Work From Home,2026-01-19 08:58:12,2026-01-19 18:34:46,9.61,23,9.23,0,0,0.23,Not Applicable,2026-01-19,08:58:12,2026-01-19,18:34:46,9.609444444444444,9.226111111111111
9651,1013,Deepika Srivastava,Female,Engineering,Engineering Manager,Full-Time,Koramangala Hq,2025-06-12,2026-01-19,Mid (11:00-20:00),Present,Work From Office,2026-01-19 11:06:28,2026-01-19 22:56:39,11.84,68,10.71,6,0,1.71,Not Applicable,2026-01-19,11:06:28,2026-01-19,22:56:39,11.836388888888889,10.703055555555556
9652,1014,Vishnu Chopra,Female,Engineering,Software Engineer,Full-Time,Indiranagar Annexe,2020-05-30,2026-01-19,Mid (11:00-20:00),Present,Work From Office,2026-01-19 10:43:08,2026-01-19 21:31:39,10.81,60,9.81,0,0,0.81,Not Applicable,2026-01-19,10:43:08,2026-01-19,21:31:39,10.80861111111111,9.80861111111111
9653,1015,Rekha Mohanty,Male,Engineering,Software Engineer,Full-Time,Koramangala Hq,2022-06-18,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 14:06:27,2026-01-19 22:38:41,8.54,71,7.36,6,22,0.0,Not Applicable,2026-01-19,14:06:27,2026-01-19,22:38:41,8.537222222222223,7.353888888888889
9654,1016,Nikita Kumar,Male,Engineering,Software Engineer Intern,Intern,Indiranagar Annexe,2025-07-26,2026-01-19,Flexible (10:30-19:30),Present,Work From Office,2026-01-19 13:06:20,2026-01-19 21:52:08,8.76,86,7.33,156,0,0.0,Not Applicable,2026-01-19,13:06:20,2026-01-19,21:52:08,8.763333333333334,7.33
9655,1017,Sahana Hegde,Female,Operations,Operations Manager,Full-Time,Koramangala Hq,2023-02-19,2026-01-19,Early (08:00-17:00),Present,Work From Office,2026-01-19 08:12:03,2026-01-19 16:29:50,8.3,67,7.18,12,31,0.0,Not Applicable,2026-01-19,08:12:03,2026-01-19,16:29:50,8.296388888888888,7.179722222222221
9656,1018,Shivani Dsouza,Female,Sales,Vp Sales,Full-Time,Koramangala Hq,2020-09-18,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 14:07:36,2026-01-20 00:53:34,10.77,51,9.92,8,0,0.92,Not Applicable,2026-01-19,14:07:36,2026-01-20,00:53:34,10.766111111111112,9.916111111111112
9657,1019,Neha Kamath,Male,Customer Success,Head Of Customer Success,Full-Time,Indiranagar Annexe,2022-12-16,2026-01-19,General (09:30-18:30),Present,Work From Home,2026-01-19 09:14:22,2026-01-19 16:27:56,7.23,50,6.4,0,123,0.0,Not Applicable,2026-01-19,09:14:22,2026-01-19,16:27:56,7.226111111111111,6.392777777777778
9658,1020,Hemant Chandran,Female,Engineering,Associate Software Engineer,Full-Time,Indiranagar Annexe,2023-08-09,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 10:06:07,2026-01-19 21:15:41,11.16,92,9.63,35,0,0.63,Not Applicable,2026-01-19,10:06:07,2026-01-19,21:15:41,11.159444444444444,9.626111111111111
9659,1021,Rohan Roy,Male,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2025-10-19,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 13:53:16,2026-01-20 00:33:50,10.68,38,10.05,0,0,1.05,Not Applicable,2026-01-19,13:53:16,2026-01-20,00:33:50,10.676111111111112,10.04277777777778
9660,1022,Jatin Bhat,Female,Customer Success,Customer Success Executive,Full-Time,Hsr Layout Hub,2025-08-20,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:42:19,2026-01-19 18:12:24,8.5,53,7.62,12,18,0.0,Not Applicable,2026-01-19,09:42:19,2026-01-19,18:12:24,8.501388888888888,7.618055555555555
9661,1023,Akash Kadam,Female,Product Management,Product Manager,Full-Time,Koramangala Hq,2020-07-02,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:49:17,2026-01-19 19:15:31,9.44,54,8.54,19,0,0.0,Not Applicable,2026-01-19,09:49:17,2026-01-19,19:15:31,9.437222222222223,8.537222222222223
9662,1024,Anusha Acharya,Male,Sales,Regional Sales Manager,Full-Time,Indiranagar Annexe,2023-12-11,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:30:16,2026-01-19 18:42:58,9.21,92,7.68,0,0,0.0,Not Applicable,2026-01-19,09:30:16,2026-01-19,18:42:58,9.211666666666666,7.678333333333333
9663,1025,Ananya Agarwal,Male,Finance,Finance Controller,Part-Time,Whitefield Tech Park,2021-04-27,2026-01-19,Early (08:00-17:00),Present,Work From Office,2026-01-19 07:51:55,2026-01-19 12:36:06,4.74,51,3.89,0,264,0.0,Not Applicable,2026-01-19,07:51:55,2026-01-19,12:36:06,4.7363888888888885,3.8863888888888884
9664,1026,Ishita Banerjee,Male,Engineering,Software Engineer,Full-Time,Indiranagar Annexe,2021-06-19,2026-01-19,Flexible (10:30-19:30),Present,Work From Office,2026-01-19 10:18:40,2026-01-19 20:32:18,10.23,22,9.86,0,0,0.86,Not Applicable,2026-01-19,10:18:40,2026-01-19,20:32:18,10.227222222222222,9.860555555555555
9665,1027,Ritesh Sinha,Female,Engineering,Associate Software Engineer,Full-Time,Electronic City Campus,2021-09-11,2026-01-19,Flexible (10:30-19:30),Present,Work From Office,2026-01-19 11:02:47,2026-01-19 21:59:54,10.95,68,9.82,33,0,0.82,Not Applicable,2026-01-19,11:02:47,2026-01-19,21:59:54,10.951944444444445,9.818611111111112
9666,1028,Shivani Bhardwaj,Male,Data Science,Senior Data Scientist,Full-Time,Whitefield Tech Park,2022-11-21,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 10:31:48,2026-01-19 19:32:18,9.01,85,7.59,61,0,0.0,Not Applicable,2026-01-19,10:31:48,2026-01-19,19:32:18,9.008333333333333,7.591666666666666
9667,1029,Tanmay Chandran,Prefer Not To Say,Engineering,Senior Software Engineer,Full-Time,Hsr Layout Hub,2021-10-31,2026-01-19,General (09:30-18:30),Present,Work From Home,2026-01-19 09:41:31,2026-01-19 17:05:14,7.4,40,6.73,11,85,0.0,Not Applicable,2026-01-19,09:41:31,2026-01-19,17:05:14,7.395277777777777,6.72861111111111
9668,1030,Jayanth Varghese,Female,Engineering,Staff Engineer,Full-Time,Indiranagar Annexe,2023-05-15,2026-01-19,Mid (11:00-20:00),Present,Work From Office,2026-01-19 10:57:13,2026-01-19 21:07:49,10.18,73,8.96,0,0,0.0,Not Applicable,2026-01-19,10:57:13,2026-01-19,21:07:49,10.176666666666666,8.959999999999999
9669,1032,Arnav Prasad,Male,Operations,Operations Manager,Full-Time,Whitefield Tech Park,2024-03-25,2026-01-19,General (09:30-18:30),Present,Work From Home,2026-01-19 09:44:03,2026-01-19 17:33:15,7.82,69,6.67,13,57,0.0,Not Applicable,2026-01-19,09:44:03,2026-01-19,17:33:15,7.82,6.67
9670,1033,Farhan Bose,Female,Finance,Financial Analyst,Full-Time,Electronic City Campus,2025-03-16,2026-01-19,Early (08:00-17:00),Present,Work From Home,2026-01-19 07:42:19,2026-01-19 16:48:08,9.1,95,7.52,0,12,0.0,Not Applicable,2026-01-19,07:42:19,2026-01-19,16:48:08,9.096944444444444,7.5136111111111115
9671,1034,Apoorva Varghese,Male,Finance,Finance Controller,Full-Time,Indiranagar Annexe,2023-05-19,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:25:55,2026-01-19 19:55:33,10.49,104,8.76,0,0,0.0,Not Applicable,2026-01-19,09:25:55,2026-01-19,19:55:33,10.49388888888889,8.760555555555555
9672,1035,Ritesh Kar,Female,Sales,Sales Development Representative,Contract,Koramangala Hq,2025-08-16,2026-01-19,General (09:30-18:30),Present,Work From Office,2026-01-19 09:50:14,2026-01-19 18:34:35,8.74,74,7.51,20,0,0.0,Not Applicable,2026-01-19,09:50:14,2026-01-19,18:34:35,8.739166666666666,7.5058333333333325
9673,1036,Nithya Jain,Male,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2024-06-07,2026-01-19,Flexible (10:30-19:30),Present,Work From Office,2026-01-19 11:08:26,2026-01-19 20:11:42,9.05,86,7.62,38,0,0.0,Not Applicable,2026-01-19,11:08:26,2026-01-19,20:11:42,9.054444444444444,7.6211111111111105
9674,1038,Sagar Iyer,Male,Engineering,Software Engineer,Full-Time,Whitefield Tech Park,2023-11-17,2026-01-19,General (09:30-18:30),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Loss Of Pay,,,,,0.0,0.0
9675,1039,Shreya Pai,Male,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2023-09-02,2026-01-19,Mid (11:00-20:00),Present,Work From Home,2026-01-19 10:59:18,2026-01-19 19:28:08,8.48,61,7.46,0,32,0.0,Not Applicable,2026-01-19,10:59:18,2026-01-19,19:28:08,8.480555555555556,7.4638888888888895
9676,1040,Yash Pai,Male,Sales,Senior Account Executive,Full-Time,Whitefield Tech Park,2024-12-11,2026-01-19,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-19 14:13:49,2026-01-19 22:57:47,8.73,68,7.6,13,3,0.0,Not Applicable,2026-01-19,14:13:49,2026-01-19,22:57:47,8.732777777777779,7.599444444444446
9677,1041,Harsha Reddy,Female,Sales,Sales Development Representative,Full-Time,Koramangala Hq,2020-10-01,2026-01-19,Mid (11:00-20:00),Present,Client Site,2026-01-19 11:03:45,2026-01-19 21:17:40,10.23,58,9.26,3,0,0.26,Not Applicable,2026-01-19,11:03:45,2026-01-19,21:17:40,10.231944444444444,9.265277777777778
9678,1042,Sanjay Ansari,Female,Finance,Finance Executive,Full-Time,Koramangala Hq,2025-12-10,2026-01-19,Early (08:00-17:00),Present,Work From Office,2026-01-19 07:53:07,2026-01-19 17:52:59,10.0,95,8.42,0,0,0.0,Not Applicable,2026-01-19,07:53:07,2026-01-19,17:52:59,9.997777777777777,8.414444444444444
